State,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,TotalFatalities
Texas,Pickup Truck Fatalities,569,558,603,606,693,626,619,588,644,598,602,712,"7,418"
Texas,Van Fatalities,97,81,117,95,87,88,87,65,107,69,69,93,"1,055"
Texas,Other Light Truck Fatalities,1,3,0,1,1,1,11,8,7,5,0,0,38
Texas,Motorcycle Fatalities,420,478,454,493,451,452,495,490,416,417,477,515,"5,558"
Texas,Bus Fatalities,3,2,2,7,2,17,10,16,4,4,3,4,74
Texas,Large Truck Fatalities,67,69,135,111,114,100,126,131,138,146,116,170,"1,423"
Texas,Pedalcyclist Fatalities,42,45,56,48,50,52,65,59,69,66,79,91,722
Texas,Pedestrian Fatalities,349,425,482,480,479,549,675,608,616,649,688,817,"6,817"
Texas,Other Nonoccupant Fatalities,14,9,11,9,14,21,15,12,14,25,31,27,202
Texas,Other Vehicle Fatalities,23,17,26,23,21,23,27,31,31,24,54,57,357
Texas,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Highway Fatalities,253,243,217,220,256,278,281,273,260,248,276,328,"3,133"
Utah,Passenger Car Fatalities,103,87,82,69,89,95,85,89,84,76,90,101,"1,050"
Utah,SUV Fatalities,31,40,37,24,29,30,43,41,33,27,47,66,448
Utah,Pickup Truck Fatalities,33,30,23,40,27,38,34,32,33,40,30,37,397
Utah,Van Fatalities,15,11,3,7,11,12,8,5,6,4,8,13,103
Utah,Other Light Truck Fatalities,0,1,0,0,0,0,0,2,0,2,0,0,5
Utah,Motorcycle Fatalities,21,28,32,31,45,36,41,39,47,34,40,39,433
Utah,Bus Fatalities,1,0,0,2,0,0,0,1,0,4,0,0,8
Utah,Large Truck Fatalities,2,5,2,5,4,6,8,8,8,5,4,16,73
Utah,Pedalcyclist Fatalities,7,5,3,6,9,5,5,6,3,6,8,6,69
Utah,Pedestrian Fatalities,28,30,28,28,32,47,35,42,36,38,33,43,420
Utah,Other Nonoccupant Fatalities,0,2,3,2,5,2,4,1,1,4,3,2,29
Utah,Other Vehicle Fatalities,12,4,4,5,5,7,18,7,8,7,13,3,93
Utah,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,Highway Fatalities,71,55,77,69,44,57,62,69,68,47,62,74,755
Vermont,Passenger Car Fatalities,35,26,33,32,18,20,28,30,34,22,23,23,324
Vermont,SUV Fatalities,11,6,8,11,4,10,15,8,8,6,11,14,112
Vermont,Pickup Truck Fatalities,5,6,9,5,3,2,2,7,10,4,1,7,61
Vermont,Van Fatalities,4,4,2,3,2,1,0,0,0,0,3,1,20
Vermont,Other Light Truck Fatalities,0,0,0,0,0,1,0,0,0,0,0,0,1
Vermont,Motorcycle Fatalities,6,8,11,7,7,11,11,13,7,8,10,15,114
Vermont,Bus Fatalities,0,0,0,0,1,0,0,0,0,0,0,0,1
Vermont,Large Truck Fatalities,3,1,2,1,1,1,0,1,2,2,1,3,18
Vermont,Pedalcyclist Fatalities,1,0,0,0,0,4,1,0,0,0,1,0,7
Vermont,Pedestrian Fatalities,4,3,10,5,5,5,4,8,6,3,8,8,69
Vermont,Other Nonoccupant Fatalities,0,1,2,0,0,0,0,0,0,0,0,0,3
Vermont,Other Vehicle Fatalities,2,0,2,5,3,2,1,2,1,2,4,3,27
Vermont,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Highway Fatalities,740,764,776,740,703,754,760,839,820,831,850,973,"9,550"
Virginia,Passenger Car Fatalities,307,314,332,331,299,323,308,320,333,328,303,358,"3,856"
Virginia,SUV Fatalities,84,104,91,99,68,103,88,111,116,104,140,190,"1,298"
Virginia,Pickup Truck Fatalities,99,104,98,87,86,103,81,109,74,93,117,101,"1,152"
Virginia,Van Fatalities,45,32,27,32,23,24,30,32,29,34,22,32,362
Virginia,Other Light Truck Fatalities,0,0,0,0,0,1,6,0,1,0,0,0,8
Virginia,Motorcycle Fatalities,86,96,85,79,90,79,79,117,100,102,100,111,"1,124"
Virginia,Bus Fatalities,0,4,0,1,1,0,0,0,1,2,0,1,10
Virginia,Large Truck Fatalities,23,20,27,24,22,19,26,20,26,24,32,24,287
Virginia,Pedalcyclist Fatalities,12,6,11,8,12,15,10,12,12,13,7,16,134
Virginia,Pedestrian Fatalities,73,73,97,75,88,77,122,111,118,123,111,123,"1,191"
Virginia,Other Nonoccupant Fatalities,2,3,4,3,3,1,0,2,5,1,4,5,33
Virginia,Other Vehicle Fatalities,7,9,5,1,10,8,8,5,5,6,13,10,87
Virginia,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,Highway Fatalities,460,454,438,436,462,551,536,563,539,538,574,670,"6,221"
Washington,Passenger Car Fatalities,200,178,156,183,177,230,192,190,184,177,185,231,"2,283"
Washington,SUV Fatalities,50,47,40,42,46,43,64,62,76,66,74,93,703
Washington,Pickup Truck Fatalities,48,51,52,52,56,67,54,61,55,54,62,62,674
Washington,Van Fatalities,15,10,11,10,17,17,19,24,9,16,15,10,173
Washington,Other Light Truck Fatalities,0,0,0,0,1,1,3,3,3,0,0,0,11
Washington,Motorcycle Fatalities,70,72,83,73,69,75,81,80,80,95,92,90,960
Washington,Bus Fatalities,0,2,0,0,1,5,0,0,1,2,0,0,11
Washington,Large Truck Fatalities,2,7,7,5,5,3,10,10,9,6,5,11,80
Washington,Pedalcyclist Fatalities,6,11,12,11,7,14,17,15,16,9,13,14,145
Washington,Pedestrian Fatalities,61,64,71,49,75,84,83,104,99,102,105,142,"1,039"
Washington,Other Nonoccupant Fatalities,3,4,5,1,3,2,7,5,4,5,6,7,52
Washington,Other Vehicle Fatalities,6,6,1,9,4,9,6,8,3,4,12,10,78
Washington,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Highway Fatalities,315,338,339,332,272,268,269,304,294,260,267,280,"3,538"
West Virginia,Passenger Car Fatalities,128,141,141,128,99,90,85,105,104,78,70,71,"1,240"
West Virginia,SUV Fatalities,42,47,41,40,48,50,39,66,39,41,52,57,562
West Virginia,Pickup Truck Fatalities,56,66,47,73,50,45,47,40,43,43,49,48,607
West Virginia,Van Fatalities,10,9,13,6,5,5,14,7,11,7,6,8,101
West Virginia,Other Light Truck Fatalities,0,0,0,0,0,2,1,1,0,0,0,0,4
West Virginia,Motorcycle Fatalities,33,27,31,24,26,32,29,26,39,28,38,27,360
West Virginia,Bus Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Large Truck Fatalities,10,8,5,9,6,4,6,9,13,12,10,7,99
West Virginia,Pedalcyclist Fatalities,3,0,1,0,2,1,1,3,5,3,3,0,22
West Virginia,Pedestrian Fatalities,13,20,31,28,19,19,24,26,22,31,18,36,287
West Virginia,Other Nonoccupant Fatalities,0,1,0,1,2,0,6,2,1,0,1,2,16
West Virginia,Other Vehicle Fatalities,20,20,29,22,17,20,21,19,16,17,20,24,245
West Virginia,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,Highway Fatalities,572,582,615,543,506,566,607,613,589,567,612,620,"6,992"
Wisconsin,Passenger Car Fatalities,241,227,261,213,209,236,250,256,230,194,195,193,"2,705"
Wisconsin,SUV Fatalities,52,64,72,71,62,56,85,70,91,90,133,123,969
Wisconsin,Pickup Truck Fatalities,56,73,53,64,64,70,55,71,59,59,50,51,725
Wisconsin,Van Fatalities,35,32,30,27,27,25,38,40,34,33,19,21,361
Wisconsin,Other Light Truck Fatalities,0,0,1,1,0,1,1,0,0,0,0,0,4
Wisconsin,Motorcycle Fatalities,105,88,117,85,73,81,85,76,83,85,116,121,"1,115"
Wisconsin,Bus Fatalities,0,1,0,1,0,0,0,0,1,0,0,0,3
Wisconsin,Large Truck Fatalities,2,10,11,13,11,8,9,10,14,13,6,12,119
Wisconsin,Pedalcyclist Fatalities,9,12,11,10,4,15,11,7,4,14,12,9,118
Wisconsin,Pedestrian Fatalities,52,57,45,37,45,57,51,56,56,59,50,48,613
Wisconsin,Other Nonoccupant Fatalities,2,4,0,7,0,3,1,3,3,1,1,1,26
Wisconsin,Other Vehicle Fatalities,15,13,11,19,11,9,20,24,15,18,29,35,219
Wisconsin,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming,Highway Fatalities,155,135,123,87,150,145,112,123,111,147,127,110,"1,525"
Wyoming,Passenger Car Fatalities,38,32,36,24,36,37,18,36,25,35,24,16,357
Wyoming,SUV Fatalities,29,28,24,15,28,33,26,21,15,29,35,24,307
Wyoming,Pickup Truck Fatalities,38,30,30,23,40,37,19,27,34,26,25,27,356
Wyoming,Van Fatalities,1,11,4,4,14,0,8,3,2,13,5,4,69
Wyoming,Other Light Truck Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming,Motorcycle Fatalities,33,16,12,9,16,24,24,17,15,15,19,17,217
Wyoming,Bus Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming,Large Truck Fatalities,7,8,8,7,5,7,8,8,12,13,8,6,97
Wyoming,Pedalcyclist Fatalities,0,1,0,0,5,0,1,0,0,0,1,0,8
Wyoming,Pedestrian Fatalities,3,6,6,4,5,5,4,6,6,11,6,11,73
Wyoming,Other Nonoccupant Fatalities,0,0,0,0,1,0,0,0,0,2,0,0,3
Wyoming,Other Vehicle Fatalities,6,3,3,1,1,2,3,5,2,5,4,5,40
Wyoming,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,Highway Fatalities,340,361,366,344,304,310,279,290,308,289,242,337,"3,770"
Puerto Rico,Passenger Car Fatalities,128,120,137,140,115,113,92,111,90,98,84,105,"1,333"
Puerto Rico,SUV Fatalities,24,35,25,32,19,13,29,22,34,23,26,37,319
Puerto Rico,Pickup Truck Fatalities,13,19,6,13,8,10,6,11,8,15,4,8,121
Puerto Rico,Van Fatalities,3,6,5,5,1,2,3,3,2,2,1,4,37
Puerto Rico,Other Light Truck Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,Motorcycle Fatalities,47,53,54,42,47,48,45,28,44,34,47,67,556
Puerto Rico,Bus Fatalities,0,0,0,1,0,0,0,0,0,1,0,0,2
Puerto Rico,Large Truck Fatalities,4,3,2,5,1,1,0,0,3,2,1,2,24
Puerto Rico,Pedalcyclist Fatalities,15,7,16,11,12,11,9,10,9,9,9,12,130
Puerto Rico,Pedestrian Fatalities,101,111,112,87,95,101,89,98,116,100,63,92,"1,165"
Puerto Rico,Other Nonoccupant Fatalities,5,6,5,5,1,5,2,2,1,3,0,2,37
Puerto Rico,Other Vehicle Fatalities,0,0,4,3,5,5,4,5,1,2,7,7,43
Puerto Rico,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgin Islands,Highway Fatalities,,,,,,,,,,,,,
Virgin Islands,Passenger Car Fatalities,,,,,,,,,,,,,
Virgin Islands,SUV Fatalities,,,,,,,,,,,,,
Virgin Islands,Pickup Truck Fatalities,,,,,,,,,,,,,
Virgin Islands,Van Fatalities,,,,,,,,,,,,,
Virgin Islands,Other Light Truck Fatalities,,,,,,,,,,,,,
Virgin Islands,Motorcycle Fatalities,,,,,,,,,,,,,
Virgin Islands,Bus Fatalities,,,,,,,,,,,,,
Virgin Islands,Large Truck Fatalities,,,,,,,,,,,,,
Virgin Islands,Pedalcyclist Fatalities,,,,,,,,,,,,,
Virgin Islands,Pedestrian Fatalities,,,,,,,,,,,,,
Virgin Islands,Other Nonoccupant Fatalities,,,,,,,,,,,,,
Virgin Islands,Other Vehicle Fatalities,,,,,,,,,,,,,
Virgin Islands,Unknown Person Type Fatalities,,,,,,,,,,,,,
